zone,timestamp,gesture_pred,ground_truth,case_id,pos_x,pos_y
4,1764351687.4757187,FIST,FIST,3,563,425
4,1764351687.9858325,FIST,FIST,3,547,497
4,1764351688.486976,FIST,FIST,3,483,475
4,1764351688.998614,FIST,FIST,3,437,512
4,1764351689.521065,FIST,FIST,3,431,496
4,1764351690.0253167,FIST,FIST,3,470,485
4,1764351690.5321565,FIST,FIST,3,543,376
4,1764351691.0345354,,FIST,6,,
4,1764351691.5426424,,FIST,6,,
4,1764351692.0506775,,FIST,6,,
4,1764351692.556002,,FIST,6,,
4,1764351693.0656826,,FIST,6,,
4,1764351693.5882275,,FIST,6,,
4,1764351694.1015291,,FIST,6,,
4,1764351694.61131,,FIST,6,,
4,1764351695.1288745,,FIST,6,,
4,1764351706.4707608,FIST,FIST,3,554,525
4,1764351706.986517,FIST,FIST,3,545,526
4,1764351707.503437,FIST,FIST,3,484,497
4,1764351708.0168905,FIST,FIST,3,494,480
4,1764351708.5252154,FIST,FIST,3,457,472
4,1764351709.034487,FIST,FIST,3,512,485
4,1764351709.5423443,FIST,FIST,3,458,462
4,1764351710.0601647,FIST,FIST,3,481,459
4,1764351710.5678477,FIST,FIST,3,419,425
4,1764351711.0825408,FIST,FIST,3,488,463
4,1764351711.5986588,FIST,FIST,3,471,454
4,1764351712.1123998,FIST,FIST,3,501,490
4,1764351712.6281075,FIST,FIST,3,483,509
4,1764351713.13991,FIST,FIST,3,485,550
4,1764351713.6400409,FIST,FIST,3,535,552
4,1764351714.142278,FIST,FIST,3,583,481
4,1764351714.6570024,,FIST,6,,
4,1764351715.1700563,,FIST,6,,
4,1764351715.684187,,FIST,6,,
4,1764351716.2003198,,FIST,6,,
4,1764351716.7032871,,FIST,6,,
4,1764351717.212999,,FIST,6,,
4,1764351722.5708337,,PALM,5,,
4,1764351723.0885515,,PALM,5,,
4,1764351723.5923088,,PALM,5,,
4,1764351724.1016133,,PALM,5,,
4,1764351724.6076515,,PALM,5,,
4,1764351725.1113183,,PALM,5,,
4,1764351725.6287239,,PALM,5,,
4,1764351726.145709,,PALM,5,,
4,1764351726.6496162,,PALM,5,,
4,1764351727.154323,,PALM,5,,
4,1764351727.6671104,PALM,PALM,2,480,543
4,1764351728.1728866,PALM,PALM,2,535,574
4,1764351728.711911,PALM,PALM,2,533,582
4,1764351729.2244842,PALM,PALM,2,559,578
4,1764351729.7375045,PALM,PALM,2,487,584
4,1764351730.2429118,PALM,PALM,2,396,547
4,1764351730.750754,PALM,PALM,2,369,503
4,1764351731.2617688,PALM,PALM,2,368,488
4,1764351731.785741,PALM,PALM,2,434,481
4,1764351732.2977989,PALM,PALM,2,435,443
4,1764351732.8042338,PALM,PALM,2,420,417
4,1764351733.3220375,PALM,PALM,2,384,412
4,1764351733.840925,PALM,PALM,2,317,418
4,1764351734.3452017,PALM,PALM,2,350,435
4,1764351734.84772,PALM,PALM,2,437,434
4,1764351735.3579426,PALM,PALM,2,479,451
4,1764351735.8833458,PALM,PALM,2,561,455
4,1764351736.4085813,PALM,PALM,2,613,486
4,1764351736.911263,PALM,PALM,2,619,532
4,1764351737.4203117,PALM,PALM,2,639,576
4,1764351737.9320116,PALM,PALM,2,638,609
4,1764351738.4373415,PALM,PALM,2,608,629
4,1764351738.9386303,PALM,PALM,2,542,625
4,1764351739.451263,PALM,PALM,2,501,582
4,1764351739.9523523,PALM,PALM,2,535,528
4,1764351740.4648342,PALM,PALM,2,511,498
4,1764351740.98799,PALM,PALM,2,556,468
4,1764351741.4944766,PALM,PALM,2,630,412
4,1764351742.0129685,PALM,PALM,2,657,363
4,1764351742.5141418,PALM,PALM,2,654,362
4,1764351743.036514,PALM,PALM,2,597,402
4,1764351743.5551298,PALM,PALM,2,641,420
4,1764351744.0614908,PALM,PALM,2,707,447
4,1764351744.5711172,PALM,PALM,2,691,495
5,1764351766.9394426,PALM,PALM,2,1354,673
5,1764351767.454705,PALM,PALM,2,1351,661
5,1764351767.9709458,PALM,PALM,2,1355,637
5,1764351768.4846237,PALM,PALM,2,1349,608
5,1764351769.004701,PALM,PALM,2,1314,572
